id,session_id,name,document_count,created_by,created_at,updated_at,merged_into
27f44c84-c203-4cb8-8b42-890fcc9d1400,8267942a-3721-4956-b866-3aad8e56a1bb,Vânzare imobile,0,local-extraction,2025-12-09 07:47:42.877+00,2025-12-09 07:47:42.877+00,
0eca7278-69e5-4029-98da-de770767bcff,8267942a-3721-4956-b866-3aad8e56a1bb,"Vânzare bunuri mobile identificate (utilaje, etc)",0,local-extraction,2025-12-09 07:47:42.877+00,2025-12-09 07:47:42.877+00,
75a17c1b-6ba5-4120-83b7-5ee0e2456dc2,8267942a-3721-4956-b866-3aad8e56a1bb,Furnizare,0,local-extraction,2025-12-09 07:47:42.877+00,2025-12-09 07:47:42.877+00,
eac597b4-2804-488d-bcd3-4dfb5bf3e3ed,8267942a-3721-4956-b866-3aad8e56a1bb,Închiriere rezidențial (apartament),0,local-extraction,2025-12-09 07:47:42.877+00,2025-12-09 07:47:42.877+00,
01c8f808-6f4a-490c-b530-f0225828f35d,8267942a-3721-4956-b866-3aad8e56a1bb,Închiriere industrial (hale),0,local-extraction,2025-12-09 07:47:42.877+00,2025-12-09 07:47:42.877+00,
61c44a75-7db5-416e-ac33-9494b728ebfe,8267942a-3721-4956-b866-3aad8e56a1bb,"Închiriere birouri (sediu, punct de lucru)",0,local-extraction,2025-12-09 07:47:42.877+00,2025-12-09 07:47:42.877+00,
dcb1bf2d-a306-47b6-adbe-1ffc23c2a725,8267942a-3721-4956-b866-3aad8e56a1bb,Comodat,0,local-extraction,2025-12-09 07:47:42.877+00,2025-12-09 07:47:42.877+00,
038ad7dd-61f6-4930-883d-463b9aaabe78,8267942a-3721-4956-b866-3aad8e56a1bb,Împrumut bancar,0,local-extraction,2025-12-09 07:47:42.877+00,2025-12-09 07:47:42.877+00,
bd9aefa6-6d6f-4dcf-80cd-3f0741d2578b,8267942a-3721-4956-b866-3aad8e56a1bb,Vânzare bunuri mobile marfă,12,local-extraction,2025-12-09 07:47:42.877+00,2025-12-13 10:10:57.806+00,
6a9bd389-53f8-4a32-a88c-473d3fecb4dc,8267942a-3721-4956-b866-3aad8e56a1bb,Management,0,local-extraction,2025-12-09 07:47:42.877+00,2025-12-09 07:47:42.877+00,
5f693fea-c1fd-4658-b12d-40f1d6d49627,8267942a-3721-4956-b866-3aad8e56a1bb,Cesiune părți sociale,0,local-extraction,2025-12-09 07:47:42.877+00,2025-12-09 07:47:42.877+00,
ed7850af-2bf8-460a-a5a0-93b44805289b,8267942a-3721-4956-b866-3aad8e56a1bb,Cesiune acțiuni,0,local-extraction,2025-12-09 07:47:42.877+00,2025-12-09 07:47:42.877+00,
20db26fe-81bf-4d90-8939-7003f0e5c0d8,8267942a-3721-4956-b866-3aad8e56a1bb,Cesiune finanțare,0,local-extraction,2025-12-09 07:47:42.877+00,2025-12-09 07:47:42.877+00,
c3780cca-85fc-40c2-a1ff-8a2887144cd3,8267942a-3721-4956-b866-3aad8e56a1bb,Cesiune creanță,0,local-extraction,2025-12-09 07:47:42.877+00,2025-12-09 07:47:42.877+00,
479a01f1-8689-4074-b03b-5b469c704e66,8267942a-3721-4956-b866-3aad8e56a1bb,Cesiune contract,0,local-extraction,2025-12-09 07:47:42.877+00,2025-12-09 07:47:42.877+00,
87f2e902-2cac-45cd-9696-02585cb1760e,8267942a-3721-4956-b866-3aad8e56a1bb,Act constitutiv SRL,0,local-extraction,2025-12-09 07:47:42.877+00,2025-12-09 07:47:42.877+00,
51525df3-4375-4298-8d79-f36e3263f60a,8267942a-3721-4956-b866-3aad8e56a1bb,Act constitutiv SA,0,local-extraction,2025-12-09 07:47:42.877+00,2025-12-09 07:47:42.877+00,
