id,session_id,month_year,assigned_to,document_count,categorized_count,skipped_count,assigned_at,completed_at,created_at,updated_at
23ba2005-b94c-4365-8250-41cecf64cc09,8267942a-3721-4956-b866-3aad8e56a1bb,2016-04,922bde00-234f-4016-99b1-241e6574c57f,142,0,0,2025-12-09 07:47:42.458+00,,2025-12-09 07:44:45.819+00,2025-12-09 08:40:41.953+00
82b501bf-acbd-45dc-8f03-d924d450560e,8267942a-3721-4956-b866-3aad8e56a1bb,2023-02,c68e707c-d813-402b-adf1-b7989c4a39d9,313,0,0,2025-12-12 12:04:53.841+00,,2025-12-09 08:01:09.071+00,2025-12-12 12:04:53.842+00
09c09938-4c89-4365-9ab1-ed73d1b2d524,8267942a-3721-4956-b866-3aad8e56a1bb,2023-03,c68e707c-d813-402b-adf1-b7989c4a39d9,251,0,0,2025-12-12 12:04:53.841+00,,2025-12-09 07:56:47.58+00,2025-12-12 12:04:53.842+00
f43d6aa5-4042-4a5e-8bd2-5336353247b5,8267942a-3721-4956-b866-3aad8e56a1bb,2022-12,c68e707c-d813-402b-adf1-b7989c4a39d9,350,0,0,2025-12-12 12:04:53.841+00,,2025-12-09 08:01:08.929+00,2025-12-12 12:04:53.842+00
c7686316-6856-4f6b-afac-c05079a03207,8267942a-3721-4956-b866-3aad8e56a1bb,2021-06,922bde00-234f-4016-99b1-241e6574c57f,362,0,0,2025-12-09 07:47:42.458+00,,2025-12-09 07:46:17.047+00,2025-12-09 10:44:19.317+00
bb6e6824-c020-443c-86b7-7e39ea2a8c97,8267942a-3721-4956-b866-3aad8e56a1bb,2023-06,c68e707c-d813-402b-adf1-b7989c4a39d9,229,0,0,2025-12-12 12:04:53.841+00,,2025-12-09 07:56:47.594+00,2025-12-12 12:04:53.842+00
972e6034-fefc-4a3e-932d-765b5b2c5270,8267942a-3721-4956-b866-3aad8e56a1bb,2016-02,922bde00-234f-4016-99b1-241e6574c57f,148,0,0,2025-12-09 07:47:42.458+00,,2025-12-09 07:44:45.78+00,2025-12-09 10:43:17.817+00
19ae08d6-b694-41e6-b6f6-280c218f5e98,8267942a-3721-4956-b866-3aad8e56a1bb,2025-01,,319,0,0,,,2025-12-09 07:57:21.827+00,2025-12-09 10:34:40.226+00
02d54d69-0a09-43d0-95ae-87fc78a3b2d5,8267942a-3721-4956-b866-3aad8e56a1bb,2025-04,,371,0,0,,,2025-12-09 07:57:21.852+00,2025-12-09 10:35:13.382+00
9b8f55b7-1006-475c-b5ea-fa65b87cc54e,8267942a-3721-4956-b866-3aad8e56a1bb,2020-05,c68e707c-d813-402b-adf1-b7989c4a39d9,173,0,0,2025-12-12 12:04:53.841+00,,2025-12-09 07:54:38.861+00,2025-12-12 12:04:53.842+00
a41291ad-c031-4612-b855-3966550dcd73,8267942a-3721-4956-b866-3aad8e56a1bb,2016-03,922bde00-234f-4016-99b1-241e6574c57f,189,0,0,2025-12-09 07:47:42.458+00,,2025-12-09 07:44:45.801+00,2025-12-09 10:43:17.834+00
08574785-1959-405e-b0ef-16f8d5c42de5,8267942a-3721-4956-b866-3aad8e56a1bb,2016-07,922bde00-234f-4016-99b1-241e6574c57f,207,0,0,2025-12-09 07:47:42.458+00,,2025-12-09 07:45:14.231+00,2025-12-09 10:43:17.854+00
1697a4ad-ba63-4ac2-b2db-278cd01d76ea,8267942a-3721-4956-b866-3aad8e56a1bb,2016-10,922bde00-234f-4016-99b1-241e6574c57f,125,0,0,2025-12-09 07:47:42.458+00,,2025-12-09 07:45:14.346+00,2025-12-09 10:43:17.879+00
c8c5fa6f-62dd-4be4-9d5b-fe8c4ff9cfb3,8267942a-3721-4956-b866-3aad8e56a1bb,2016-05,922bde00-234f-4016-99b1-241e6574c57f,66,0,0,2025-12-09 07:47:42.458+00,,2025-12-09 07:44:45.852+00,2025-12-09 10:40:35.688+00
032bb721-683e-4f1d-bf85-d9f570580ba6,8267942a-3721-4956-b866-3aad8e56a1bb,2025-02,,273,0,0,,,2025-12-09 07:57:21.834+00,2025-12-09 10:44:50.185+00
8e996740-6087-497a-989f-30da5ba656df,8267942a-3721-4956-b866-3aad8e56a1bb,2018-03,922bde00-234f-4016-99b1-241e6574c57f,363,0,0,2025-12-09 07:47:42.458+00,,2025-12-09 07:45:46.103+00,2025-12-09 10:43:54.743+00
d780eedc-0a00-4e07-9dcd-0175fd62b28c,8267942a-3721-4956-b866-3aad8e56a1bb,2018-04,922bde00-234f-4016-99b1-241e6574c57f,118,0,0,2025-12-09 07:47:42.458+00,,2025-12-09 07:45:46.108+00,2025-12-09 10:40:35.71+00
55ce5296-536a-4604-8178-ca41dcd99d52,8267942a-3721-4956-b866-3aad8e56a1bb,2018-05,922bde00-234f-4016-99b1-241e6574c57f,202,0,0,2025-12-09 07:47:42.458+00,,2025-12-09 07:45:46.117+00,2025-12-09 10:43:54.747+00
c24841b8-67e5-4e4d-8f8c-334a17349474,8267942a-3721-4956-b866-3aad8e56a1bb,2020-11,922bde00-234f-4016-99b1-241e6574c57f,249,0,0,2025-12-09 07:47:42.458+00,,2025-12-09 07:46:16.992+00,2025-12-09 10:15:33.849+00
